stone,chakra,description,hardness,physical_description
herkimer diamond,,"Herkimer Diamonds are a special form of quartz that are shaped like diamonds. They enhance dreams & visions, and are ideal for use in meditation, crystal grids, and body layouts.",,
herkimer diamonds,,,,"Herkimer Diamonds are somewhat of a misnomer, as they are actually a form of quartz in a diamond shape (i.e. double-terminated). They are found near Herkimer County, NY.
Some Herkimer Diamonds are smoky, but most are clear. While there are similarly-shaped quartz crystals found elsewhere, the ones near Herkimer are known for being especially hard and glossy.
"
hiddenite,,,6.75,
hodgkinsonite,,,4.75,
holtite,,,8.5,
hornblende,,,5.5,
howlite,,"Howlite is calming because it encourages you to “live and let live”, letting go of attachments that are causing stress and encouraging you to enjoy your life as it is without worrying about what others are doing. This in turn promotes true rest, which is why it is known for helping with insomnia.",3.25,"Howlite is white and gray with dark gray marbling. It is a relatively recently discovered mineral that was found by gypsum miners. It is a soft stone, around 3.5 on the Mohs hardness scale (between Calcite and Fluorite).
Howlite is always white and gray in its natural state, but because it is porous, it is often dyed different colors. It is most often dyed blue to imitate turquoise, as its veining pattern gives it a superficial resemblance. Because of this, Howlite is sometimes called “white turquoise” but it is not actually related to turquoise. Other names for it include “buffalo stone”.
How to tell them apart:
"
humite,,,6.0,
hurlbutite,,,6.0,
huréaulite,,,3.5,
hyalophane,,,6.25,
hydroxylapatite,,,5.0,
hydroxylherderite,,,5.25,
hypersthene,,,5.5,
hübnerite,,,4.25,
ilmenite,,,5.5,
inderite,,,2.75,
iolite,[6],"Iolite supports and facilitates inner vision, including shamanic journeying. It serves as a bridge between the rational mind and non-rational energies such as the heart, intuition, the depths of your unconscious, and your soul. Through this blending it helps you understand and release issues from the past, including past lives, and brings forth your innate creativity.",,"A translucent violet gem which is also called cordierite, a silicate of aluminum and magnesium. Shows two or more colors depending on how it is viewed. The name comes from the Greek word for violet. It is mined in Brazil, Madagascar, India, Sri Lanka, and Burma.
"
jade,[4],"Green jade carries the energy of the Earth and nature, providing a wholesome, nurturing energy that uplifts and soothes the heart. It draws the abundance of nature into your life, helping you create physical prosperity and wellbeing.",,"Jade is actually two different minerals referred to by the same name. For centuries, two separate minerals were referred to and traded as jade because of their similarities. By the time a French mineralogist realized they were two different gems in the 1800s, it was too late. Today, they are differentiated into jadeite and nephrite, but often the two are still just called and sold as “jade”. Nephrite jade has long been revered by the Chinese, where it is called ‘Yu’. It is believed to reduce stress, and prolong life.
Nephrite Jade is a 6 to 6.5 and Jadeite is a 6 to 7 on the Mohs scale. Neither jade is an exceptionally hard stone, but both are very tough due to their microcrystalline structure. Because of this durability, jade was used by earlier civilizations for axes and weapons. Jade is an important part of the Chinese wedding ceremony as it is considered the concentrated essence of love. It has also been carved into ornaments, beads, and statues.
Jadeite is the more expensive variety and was originally introduced to Europe from the Americas where it was found by the conquistadors. It is actually not found in China. This variety of jade is found primarily in Burma and Guatemala. It comes in a wide range of colors including green, mottled green and white, whitish gray, pink, brown, mauve, yellow, orange, and lavender. Green jade of this variety is usually an apple green or emerald color. Colored jade (except green) is usually pale and unevenly tinted. It is more expensive because it is rarer, found in only a dozen places worldwide.
Nephrite jade is more common than jadeite and is found in mostly dark green shades. This type of jade is considered to be the “old and true Chinese jade”. Nephrite is slightly softer than it’s counterpart and is found in many countries including China, Russia, New Zealand, the United States, and Canada (British Columbia).
Due to jade’s toughness, it can be worn virtually anywhere. It is often carved and cut into cabochon styles for pendants, earrings, and rings. Jade can also be fashioned into a complete ring, much like the hematite rings you see. There are, however, many imitations of jade. “New Jade” is actually a gemstone called serpentine but looks almost identical. The easiest way to tell real jade apart is a basic scratch test (although this still isn’t a definitive test). Real jade should not be easily scratched by a knife while serpentine and many other imposters are. When purchasing jade, just make sure you trust the source and you should be fine. White jade can also be died to produce bright colors.
"
jadeite,,,6.75,
jasper,,"There are several dozen types of jasper which each have unique properties, but in general jaspers all share the property of connecting the wearer with Earth energy and have a grounding and stabilizing effect.",6.75,"Jasper is a member of the quartz family, specifically an opaque aggregate of microgranular quartz with various inclusions. It sits at a 6.5 – 7 on the Mohs scale. Its name comes from Greek “jaspis”, meaning “spotted stone”.
Jasper is found in many colors and patterns, resulting in many names for different varieties. Jasper types are usually named for their pattern. Colors of jasper include grayish blue, green, off-white, white, yellow, orange, red, pink, black, and brown. Jasper very rarely has a uniform color, as it often has other materials mixed in with it. There are over 50 varieties of jasper, often with a blotch like, or vein like pattern.
Jasper is one of the oldest known gemstones, and was very popular in ancient times. It has been written about in Greek, Hebrew, Assyrian, Persian and Latin prints, as well as the Bible.
Jasper is found in many locations including Canada, USA, Africa, Australia, China, France, Germany, India, Italy, Russia, Sicily, and Venezuela.
Most kinds of jasper are common and as such relatively inexpensive, and available in a wide variety of sizes and styles.
"
jeremejevite,,,7.0,
jet,,"Jet is a protection & purification stone. It helps protect you from negative influences and connects you with the energy of the Earth for integration, healing, and empowerment. ",3.25,"Jet is a type of lignite, a brownish-black low-grade variety of coal. Coal is a sedimentary rock that forms when decomposing organic materials are compressed under extreme pressure over long periods of time.
Jet is a non-crystalline organic gemstone formed by natural processes, like amber, pearl, and shungite. Jet sometimes contains inclusions of pyrite, giving it some sparkle.
Jet has been used in carvings and amulets since the Neolithic period. In Rome it was used in protective amulets, and the Victorians used it for rosary beads and jewelry to wear in periods of mourning. Jet is soft compared to say, sapphire, but it can be polished to a high-sheen and is relatively durable as a gemstone.
Whitby Jet is produced in Whitby, England, and is considered very high quality.
French Jet is not actually jet–it is black glass made to simulate jet. It became popular in the 19th century and is still easy to find in antiques. Real jet is lighter and warmer to the touch than glass.
Jet is sometimes referred to as black amber. This may be because they both can let off an electric charge when rubbed. However, amber is fossilized tree resin and forms in a completely different manner to jet, so this is a misnomer.
Azabache is the name for jet in Spanish, and generally refers to jet from the northern coast region of Spain. It is used as a protective stone in Spain and is very popular along the Camino de Santiago pilgrimage trails that run through Europe to the Spanish coast.
"
kornerupine,,,6.75,
kunzite,,Kunzite is a pale pink stone that is associated with Divine Love. It helps you hear messages from your heart and cultivate a feeling of unconditional love for yourself and others.,6.75,"Kunzite is a pale pink to violet form of spodumene, a silicate mineral in the pyroxene group. It’s color comes from manganese. Kunzite is often heated and/or irradiated to enhance its color. It was discovered in 1902 by George Kunz, while working for Tiffany.
"
kurnakovite,,,3.0,
kyanite,[6],"Different colors of kyanite have unique properties. Blue is the most common, and is a stone that enables communication and energy transfer mind-to-mind, between the conscious mind and the dreaming mind (creating lucid dreams), and between the physical and astral body. It creates pathways that heal by bridging blocks and aiding communication between disparate parts of the self, or between people.",5.5,"Kyanite is an aluminum silicate mineral that is often blue, but can also be found in many other colors, include white, black, green, orange, pink, and gray.
In its raw form it is often sold in spear shapes, which can flake off in splinters, so it’s good to take care when handling them.
"
kämmererite,,,2.25,
labradorite,"[1, 6]",Labradorite awakens psychic abilities such as telepathy and prophecy. It facilitates self-mastery and awareness of multiple layers of reality at the same time; thus it is a good stone for shamanic work.,6.25,"Labradorite is a variety of feldspar. Although it has a dirty gray color in the rough, cut stones have a metallic lustre and an iridescent sheen suggestive of the Northern Lights (Aurora Borealis). When seen at the right angle, various shades of vivid blue, green, gold, purple, and other colors are revealed. These crystals are usually cut with at least one flat surface to bring out these colors.
Labradorite was named after the peninsula of Labrador in Canada, where it was discovered in 1770. It has since been found in other areas around the world. It is a 6-6.5 on the Mohs scale and is not expensive.
Spectrolite is a variety of labradorite with intense colors, originally found in Finland.
"
langbeinite,,,3.75,
lapis lazuli,"[5, 6]","Lapis lazuli is a stone with royal energy, in that it helps you uncover and access your inner noble and Divine nature. It activates psychic abilities and intuition, connecting you to spiritual guidance and visionary awareness. It helps you discern and speak the truth, as well as discover your truest inner Self.",5.5,"A lovely blue gemstone composed mainly of lazurite and calcite. It was popular in ancient Egypt.
"
larimar,,"Larimar empowers you to speak directly from the heart. It is one of the best stones for diffusing anger and transmuting it to relaxed, clear communication. It helps you tap into a deep sense of calm that transcends the current situation and your emotional responses to it–helping you to accept what is, and see the Divine in every moment.",,"A form of pale blue pectolite, usually containing inclusions of blue-green and white. It is only found in the Dominican Republic. Due to its rareness, it is often simulated by dying quartz a pale blue.
"
lavendar amethyst,"[4, 7]",,,
lawsonite,,,6.0,
lazulite,,,5.5,
legrandite,,,4.75,
lepidolite,[6],"Lepidolite helps with stress and worry when life feels turbulent and overwhelming. It can help you stay focused on the present, relieving worry about the future and letting go of stuck patterns from the past. ",2.75,"Lepidolite is a mica, a group of glittery silicate minerals. It is sometimes found as an inclusion in tourmaline and quartz, giving a bit of shine to those stones. It is soft, a 2.5-3 on the Mohs scale. In its raw form it can be scaly, with pieces that flake off. It can be translucent and has a pearly luster. It is most often found in shades of purple, pink and lilac, although it can also be found in gray or yellow. It is so high in lithium it is actually mined as a source of lithium, and is sometimes called “lithium mica”.
Due to its softness, avoid using any harsh cleaners on your lepidolite jewelry–use warm soapy water and dry with a soft cloth. Store your lepidolite in its own pouch away from harder gemstones that might scratch it. Avoid wearing it during exercise or exposing it to high heat or pressure. With good care, lepidolite jewelry should last for many decades.
"
leucite,,,5.75,
leucophanite,,,4.0,
libethenite,,,4.0,
linarite,,,2.5,
linobate,,,5.5,
lithiophilite,,,4.5,
lizardite,,,2.5,
ludlamite,,,3.5,
magnesio-axinite,,,6.5,
magnesiochromite,,,5.5,
magnesite,,Magnesite is a white gemstone that helps support psychic abilities and awaken your consciousness to higher states.,4.0,"Magnesite is a soft magnesium carbonate mineral. Magnesite is generally white, but can be yellow, brown, or gray. It looks similar to howlite, and is commonly dyed to mimic turquoise or simply to create a more colorful stone. It is often mislabelled as “white turquoise”, but it’s not actually related to turquoise.
In addition to being used in beads and jewelry, magnesite is used in some industrial processes.
"
magnetite,,,6.0,
mahogany obsidian,,"Mahogany Obsidian is useful for clearing self-imposed blocks that lurk in your subconscious due to past harmful experiences. If you feel you are not expressing your full potential due to abuse or trauma in your own life, past lives, or your family lineage, wearing Mahogany Obsidian can help you release these limitations & move forward with renewed purpose.",,"Mahogany Obsidian is a form of obsidian that is reddish-brown with black spots or stripes. It is named after the wood of mahogany trees.
"
malachite,[4],Malachite is a stalwart protector and bolsterer of your strength and willpower.  It helps you access your innate power and protects you from negativity as you take action in the world.,3.75,"Malachite is found alongside copper deposits, and is very similar to azurite, another secondary mineral of copper. It forms when copper minerals reacts with carbonated water or limestone.
Malachite is a mineral that sits at a 3.5-4 on the Mohs scale of hardness. Malachite’s name comes from the Greek word “molochitis” meaning mallow-green stone. It is very rarely found in single crystals.
Malachite is only found in shades of green and has a very obvious and unique look. Imitation pieces may have black or white banding, although this mineral is rarely imitated as it is found in relative abundance.
Malachite is mined on a large scale in the Ural Mountains and is also found in Congo, Canada, Tsumeb, Namibia, Russia, Mexico, Zaire, Australia, England and Israel. In the United States, malachite has been found alongside copper deposits in California, Nevada, Utah, Pennsylvania, and Tennessee. Archeological evidence suggests this mineral has been mined and smelted for well over 3000 years.
Malachite is very soft, so if you are hard on your jewelry in general, malachite may not be for you. It is recommended that you do not use an ultrasonic cleanser on malachite.
"
mangan-apatite,,,5.0,
mangan-axinite,,,6.75,
manganotantalite,,,6.0,
marcasite,,,6.25,
marialite,,,5.75,
meionite,,,5.75,
meliphanite,,,5.25,
mellite,,,2.25,
melonite,,,1.5,
mesolite,,,5.25,
microcline,,,6.25,
microlite,,,5.25,
milarite,,,5.75,
millerite,,,3.25,
mimetite,,,3.75,
moldavite,,"Moldavite is quite popular in metaphysical circles and is well-known as a stone of spiritual awakening and an accelerant of personal evolution. As a green stone it is most active with the heart chakra, but the power of this stone can act on and open all chakras and enhance any spiritual pursuit. ",5.5,
monazite,,,5.25,
montebrasite,,,5.75,
mookaite jasper,,"Mookaite is a yellow, brown and reddish-purple form of jasper found only in Australia. It helps you connect to your animal instincts, revitalizes the body, and supports ancestral healing.",,
moonstone,"[6, 7]",Moonstone is a stone of feminine power and mystery. It assists in journeying inwardly and finding hidden truths in our unconscious and in past lives. It enhances intuition and encourages the wisdom and patience to trust Divine timing.,,"A feldspar mineral gemstone that is pale and iridescent. In appearance it can be similar to some opals, although they are chemically different. Opals can be many different colors, and their iridescence contains many colors; in contrast, moonstone is always milky-white and its iridescence is limited to gray, peach, and blue tones.
"
mordenite,,,4.5,
morganite,,"Morganite is a heart chakra stone and carries the energy of Divine love and compassion. It is an excellent stone to heal emotional trauma and grief and see the larger meaning and purpose of it in your life. If you are ready to transform pain, trauma, or loss into wisdom and compassion, this is your stone.",,"Morganite is pink beryl. This makes it related to emerald (green beryl) and aquamarine (blue beryl). The pink color of morganite is from manganese. It was named after J.P. Morgan. It is found in Madagascar, the United States, as well as Brazil and Africa.
High-grade translucent morganite is often faceted for fine jewelry, but you can also find rough specimens and lower-grade opaque semi-precious beads. The delicate peach color is often sought after for engagement and wedding rings.
photo credit
"
moss agate,,Moss agates are nurturing earth stones that help you feel and embrace the abundance of nature.,,
moss agates,,,,"Moss agate contains green tendrils that resemble moss that grows on trees. Like most agate, it contains transparent to translucent patches.
"
muscovite,,,2.5,
mystic merlinite,[6],,,
nambulite,,,6.5,
natrolite,,,5.25,
natromontebrasite,,,5.75,
nepheline,,,5.5,
nephrite,,,6.25,
neptunite,,,5.5,
nickeline,,,5.25,
norbergite,,,6.25,
obsidian,[1],"Obsidian is an earth-stone, activating the root chakra and grounding you in your connection to the Earth. It clears the aura of negative energy, and can also be used for scrying.",,"Obsidian is a volcanic glass created when lava erupts from a volcano, but only when certain conditions are met:
Obsidian sits at a 5-5.5 on the Mohs scale of hardness. It breaks to form very sharp edges, and was therefore used since ancient times for arrowheads and other tools.
Because is has no crystal structure, obsidian blades can reach molecular thinness. It has been used experimentally in modern times by some surgeons because its cutting edge is many times sharper than surgical steel, and much smoother, creating a cleaner cut with less tissue damage, inflammation, and scarring.
Pure obsidian is dark, but impurities can result in dark green, brown, black, and gray coloring. Other impurities result in stones known as snowflake obsidian, golden obsidian, apache tears, and rainbow obsidian.
Obsidian is found in many places in North America, Armenia, Italy, Mexico, Greece, and Scotland.
Obsidian is not technically a “gemstone” but instead a naturally occurring glass, but it is used for jewelry nonetheless–particularly apache tears and snowflake obsidian.
"
ocean jasper,,"Ocean Jasper encourages seeing the positive aspects of life, and letting go of the negative. It is helpful for people suffering from depression, as it gently lifts the spirits and helps one appreciate the present moment and the beauty of life. It can also dispel negativity and encourage a healthy atmosphere when in the workplace, or when you are out socializing.",,"Ocean Jasper is a type of orbicular jasper found in Madagascar, where it is harvested during low tide along the ocean. It is characterized by spherical inclusions and is generally white, green, and peach-colored.
"
odontolite,,,5.0,
oligoclase,,,6.25,
onyx,,"Onyx focuses and directs your energy toward your goals, helping you stay the course. It can help you rebuild your vitality after a prolonged illness or period of depletion, and is useful for work that requires disciplined focus and perseverance. ",,"Onyx is a form of quartz that can come in almost any color. The pure black form is the most famous, especially for beads. Outside of beading, the most common form has the appearance of parallel lines running through the stone in alternating bands. Sardonyx is a banded variety of onyx with shades of red and brown. Much of what is sold as onyx is actually agate that has been stained.
"
opal,,"Opal’s fire carries a spiritual energy that burns through attachments, wounds, and negative patterns. It can amplify your emotions, bringing semi-conscious patterns to the surface of your awareness to be dealt with. When these are cleared, it also amplifies joy.",6.0,
orange calcite,[2],,,
orange jasper,[2],,,
painite,,,7.75,
palygorskite,,,1.5,
papagoite,,,5.25,
pargasite,,,5.5,
parisite,,,4.5,
pearl,,"Natural pearls are unique gems in that they are created biologically by a sea mollusk adding successive layers of material consisting of shell, aragonite, and calcite. As such they do not have the natural crystalline structure of most crystals that are used for healing. However, they do carry the energy of their component minerals, as well as the nurturing medicine of the sea.",3.5,
pearls,,,,"A mineral object produced within a living shelled mollusk. Pearls are composed of calcium carbonate (aragonite and calcite) deposited in concentric layers. Classic pearls are perfectly round. Baroque pearls refer to all the other irregular shaped pearls. Most pearls are cultured or farmed as natural pearls are extremely rare. Pearls are iridescent and classically white, but also come in other colors like pink, brown, and black.
Cultured pearls are not made of pearl material all the way through–they are formed by a non-pearl base which has a thin layer of pearl around it.
"
pectolite,,,4.75,
pentlandite,,,3.75,
periclase,,,5.75,
peridot,[4],"Peridot is a positive energy stone. It vibrates with the energy of sunshine, showering you with blessings and abundance. It helps bring the physical reality of your life into alignment with your true purpose and joy. It can help you release past hardships, and step into a new reality of fruitful goodness.",6.75,"A yellowish green gemstone, composed of silica, magnesia, and iron. Common in certain volcanic rocks. It ranges in color from olive to lime green. It has been mined in Egypt for thousands of years. It can also be found in Pakistan, Burma, South Africa, and Brazil.
"
petalite,,,6.25,
petrified wood,,"Petrified wood is an ancient fossil of a tree. It is calming, soothing, and nurturing and can help heal problems arising from family history or past lives.",,"Petrified wood forms when a tree or tree-like plant becomes fossilized and all of the matter in the tree is replaced by minerals. The minerals (usually quartz) replace the organic tissue so slowly that the original form is retained, allowing you to see the plant’s organic structures down to the microscopic level.
Petrification can only happen under specific circumstances. The plant has to be buried in such a way that no oxygen is present so rotting cannot occur, and there is mineral-rich water present that can bring the minerals to replace the organic tissue.
Petrified wood can be found at sites all over the world, often in large swaths of petrified forests that all got buried at the same time under ideal conditions.
"
phenakite,,,7.75,
phosgenite,,,2.5,
phosphophyllite,,,3.25,
picture jasper,,"Picture jasper is a like a window into the Earth. It facilitates inner journeying to specific places or times in the past, and connecting to sacred sites. It is a good stone to use in ceremonies working with Earth energy, especially when you are working with dreams or visioning.",,"Picture jasper is a type of jasper that forms from mud that drips into gas pockets in molten lava. The resulting pattern resembles a picture or landscape.
"
pietersite,,"Pietersite clears stagnant energy and patterns, which can lead to short-term upheavel on the path to deeper healing and transformation.",,"Pietersite is a mottled brown, gray, blue, and gold form of quartz. It contains Tiger Eye (another form of quartz), which gives it the chatoyancy effect. It is only found in China and Namibia.
 
"
pink calcite,,"Pink Calcite helps to activate and enhance the heart’s way of knowing–the wordless awareness that we mean when we say, “I knew it in my heart”. It improves empathy and helps release suppressed emotions.",,"Pink calcite is colored by manganese, and is sometimes called mangano calcite. Calcite is a soft mineral made of calcium carbonate.
"
pink tourmaline,[4],"Pink tourmaline helps heal emotional wounds, alleviate emotional stress, and promote kindness, peace, and love.",,"Tourmaline is a silicate mineral that comes in several colors such as pink, green, black, red, and blue. It’s hardness is a 7 on the Mohs scale, and is fairly rare in most colors. Black tourmaline is the most abundant color. It grows in columnar formations which give it a striped or striated appearance.
"
pollucite,,,6.75,
povondraite,,,7.0,
powellite,,,3.75,
precious beryl,,,7.75,
prehnite,[4],"Prehnite harmonizes the will and the heart, leading to a quiet confidence and clarity in the right action to take to be in alignment with one’s spiritual self. Through quieting the mind and ego, it can assist in the ability to hear through your psychic channels more clearly.",6.25,"Prehnite is usually a soft yellow-green color, sometimes with white or clear mixed in. It is a silicate mineral containing calcium and aluminum, with an orthorhombic crystal structure. It is a 6-6.5 on the Mohs scale of hardness. Learn more about the mineral properties of Prehnite on Wikipedia.
"
prosopite,,,4.5,
proustite,,,2.5,
psilomelane,,,5.25,
pumpellyite,,,6.0,
purpurite,,,4.25,
pyrargyrite,,,2.75,
pyrite,[3],"Pyrite strengthens and activates the third chakra, the seat of the will. The result is increased confidence, assertiveness, creativity, and the ability to do what it takes to create what you want.",6.25,"Pyrite is an iron sulfide also known as “fool’s gold” due to its superficial resemblance to gold and it being much more common. The name pyrite comes from the greek word for fire, because you can produce a spark when hitting two pieces of pyrite together, or striking it against steel. Pyrite is used in industry to produce sulfur dioxide and sulfuric acid. It is also sometimes used as a component in lithium batteries. Historically it has been used in radios and inside early firearms, and in ancient times it was polished to use as a mirror. It is also sometimes found as a replacement mineral in fossils. It forms into various crystal shapes, including strikingly large cubes. It is found all over the world, but larger and more prized specimens have been found in Bolivia, Spain, Italy, and Germany.
Pyrite was used in marcasite jewelry, as it is similar to marcasite but more durable. Marcasite jewelry consists of small pieces of pyrite set into silver, and has been made since ancient Greece. It enjoyed a period of popularity in the Victorian era, and today’s marcasite jewelry tends to replicate these designs for a “vintage” look.
Pyrite can be used alone in jewelry, but it can also be found as inclusions inside other gemstones such as lapis lazuli.
"
pyrolusite,,,6.5,
pyrope,,,7.25,
pyrophyllite,,,1.5,
pyroxmangite,,,5.75,
quartz,,"Clear quartz crystal is the most useful and versatile of gemstones for metaphysical work. It has the unique property of being “programmable”, meaning you can infuse it with your intention and then it will amplify it, working on your behalf to manifest it in  the world. It also acts to amplify the energies of any other stone you are working with.",7.0,"Quartz is a crystal consisting of silicon dioxide. Many gemstones are a variety of quartz, such as citrine, agate, amethyst, rose quartz, smokey quartz, as well as all chalcedony varieties such as carnelian, bloodstone, and jasper.
Clear quartz is also called crystal quartz, quartz crystal, or rock crystal. It can be found in natural crystal formations, or tumbled into beads.
"
rainbow moonstone,,"Rainbow Moonstone is a healing and protective stone. It clears negative energy and helps resolve emotional wounds and grief to bring joy, peace, and optimism.",,"Rainbow moonstone is a shimmery white type of moonstone, and often contains black flecks.
"
rainbow obsidian,,"Rainbow Obsidian helps one take the journey to the root cause of emotional distress in order to resolve it. It acts by being a bridge to bring Light into wounded and dark places, allowing them to heal. Like black obsidian, it also clears and purifies the aura.",,"A type of black obsidian that, when polished and exposed to bright light, reveals iridescent layers caused by nanoparticle inclusions of the mineral pyroxene.
photo credit
"
rainforest jasper,,"Rainforest Jasper connects you to Planet Earth, the joy of being alive, the energy of growth, and the desire to be in balance with nature. It can help you realign your busy life and find your own natural rhythm of balance and harmony. It can help you let go of negative physical habits like overeating or smoking, and create a naturally healthy state of everyday existence.",,"Rainforest Jasper is a rhyolite (volcanic rock) with a green-brown background mottled with other colors such as yellow, brown, and peach. Calling it jasper is misleading, because jaspers are sedimentary rocks, not igneous (volcanic), and rainforest jasper seems to be named jasper purely due to visual similarities with other jaspers. Compositionally, it is more similar to granite than chalcedony. In the jewelry industry, you will see the same rock referred to as “rainforest jasper” and “rainforest rhyolite”.
"
realgar,,,1.5,
red beryl,,,7.75,
rhodizite,,,8.25,
rhodochrosite,[4],"Rhodochrosite is a powerful stone for emotional healing. It helps you gently revisit painful childhood memories, heal the past, and reclaim the parts of yourself that you may have suppressed or disowned for emotional survival. It is also a stone of joy and nurturing, helping you access the freedom and magic of a child when they feel safe and loved.",4.0,"Rhodochrosite is a soft mineral sometimes confused with rhodonite. It is made up of manganese carbonate. In its pure form, it is a vibrant bright pink color. Often times, calcium and other minerals find there way into the mix, the end result being a beautiful light pink color with white banding. Occasionally you will also find brown and white rhodochrosite.
Rhodochrosite is a soft stone, only a 3.5-4 on the Mohs Scale of Hardness. Rhodochrosite is very rarely faceted, most often it is cut in a cabochon style to set into jewelry. The word rhodochrosite is derived from Greek and means rose-colored. Rhodochrosite is the state mineral of Colorado and is often found in silver mines. Until people started actively looking for good quality rhodochrosite specimens, they were routinely discarded in mine dump piles.
Rhodochrosite is found in Argentina, Peru, Romania, Poland, Canada, and the United States.
Rhodochrosite is usually found with white banding throughout, sometimes with other colors as well. Rhodonite, on the other hand, is found in more of a flat color, sometimes with black inclusions.
"
rhodonite,,"Rhodonite helps you understand your gifts, and supports you to use them in the world. This stone is about feeling loved by offering your love through contributing to your community according to your life’s purpose. It can also help you decipher inner visions related to your destiny and purpose. ",6.0,"Rhodonite is a manganese inosilicate mineral. It is rose-red to brownish-red, frequently with inclusions of black manganese oxide that can give it a mottled appearance.
"
richterite,,,5.5,
rinkite,,,5.0,
rock crystal,,,7.0,
rose quartz,"[1, 4]","Rose quartz is the classic stone of love. It helps dissolve old hurts and open the heart to trust in love and have faith in the benevolence of the Universe. It has a melting effect on mistrust and suspicion, and reawakens the heart chakra to abundance of love available to it. It is a great stone to place in your home or workplace to increase the vibration of harmony and love in the environment.",,"A pink variety of quartz, that ranges from very pale pink to deep reddish pink, and from opaque to transparent. It is readily available and inexpensive.
"
ruby,,"Ruby is an activator of passion, confidence, determination, and adventure. It helps you develop courage and face your fears, moving through them and experiencing the renewed vitality on the other side. Stimulating enthusiasm, willingness to try new things, and the fortitude to see them through, ruby is a powerhouse of life-force energy.",9.0,"A fiery red gemstone that comes from the corundum mineral (sapphires come from the same mineral). Corundum is considered one of the hardest minerals on earth and the ruby is prized for its hardness, durability, luster, and rarity. Deemed one of the most valuable gemstones on earth, large, transparent rubies are even more valuable than diamonds.
"
ruby zoisite,,"Ruby zoisite is a healing and energizing stone, helping you recover your natural vitality and sense of joy at being alive. ",,"Ruby Zoisite is green zoisite with ruby inclusions. These two gemstones occur together enough that they are referred to as their own type of crystal, sometimes called anyolite.
Zoisite is a calcium aluminum silicate mineral in the epidote group, first discovered in 1805. It can be found in many other colors besides green, like white, brown, blue, purple, clear, pink, and yellow. Blue zoisite is known as Tanzanite.
"
rutilated quartz,,"Rutilated quartz acts as a two-way antenna, amplifying and broadcasting your intention, as well as helping you channel messages and Light from the Universe.",,"Rutilated Quartz is clear quartz or smoky quartz with hair-like inclusions of the mineral rutile. The hairs are usually golden colored, but can also be silver, copper, or black. It is sometimes referred to as “Venus hair”.
It is sometimes confused with tourmalinated quartz, which is clear or milky quartz with tourmaline inclusions. They looks similar except in tourmalinated quartz, the hairs are usually black (or sometimes dark green).
"
rutile,,,6.25,
samarskite,,,5.5,
sanidine,,,6.25,
sapphire,,"Blue sapphire is a stone of mental focus and order, as well as inner vision and psychic awareness. It can help open the third eye to receive wisdom and insight, and the throat chakra to communicate that vision to others.",9.0,"Sapphire is a variety of corundum, a very hard mineral that sits at 9 on the Mohs scale of hardness.
While most commonly thought of as blue, sapphires actually come in a range of colors, like violet, pink, white, green, yellow, and black. Red corundum is called ruby.
"
sapphirine,,,7.5,
sarcolite,,,5.75,
scapolite,,,5.75,
scheelite,,,4.75,
schlossmacherite,,,5.0,
schorlomite,,,7.25,
scolecite,,"Scolecite is a gentle stone that dissipates anger & brings inner peace. It can also facilitate dream work and travel in the astral realms, helping you receive messages from your Higher Self and explore other dimensions.",5.25,"Scolecite is a calcium silicate mineral in the zeolite group. It is most commonly found in Iceland and India and can range from almost colorless to creamy white or yellow. Its striated prismatic crystal clusters give it a silky and smooth appearance.
"
scorodite,,,3.75,
scorzalite,,,5.75,
sekaninaite,,,7.25,
selenite,[7],"Selenite is best known for being a clearing & purification crystal. It can be used to clear the aura from negativity or stuck energy, and to clear crystals by placing them on top of a flat piece of selenite.",,"Selenite is a form of gypsum, a soft mineral with a hardness of 2 on the Mohs scale. Its chemical composition is calcium sulfate dihydrate and it can form into huge crystals many feet across. It is related to alabaster and desert rose, but not to selenium. It’s name derives from the Greek name for the moon. It has a striated appearance (consisting of parallel lines) and a silky sheen. Selenite is usually transparent, colorless, or white, although can sometimes have a light coloring from the presence of other minerals.
Selenite can begin to dissolve in water, so it is important to never get it wet.
Because selenite is so soft and can dissolve in water, it’s not usually made into jewelry except for serious crystal fans. If you do wear it as jewelry, be careful to not expose it to the elements, and perhaps only wear it for a short period of time such as in a ritual.
"
sellaite,,,5.25,
senarmontite,,,2.25,
seraphinite,,"Seraphinite is a dark green crystal that helps purify and align your energy system and chakras to embody pure Light energy, as well as attune to & connect with Angels.",,"Seraphinite is a dark green to gray gem form of chinochlore, which is in the chlorite group of minerals. It was discovered in Siberia, Russia in the 1800s and is only found there. It is a soft stone, around a mineral hardness of 2-4 on the Mohs scale, so care should be taken with jewelry and Seraphinite stones when storing them with much harder crystals.
Seraphinite is named after the Seraphim, the highest order of angels due to the stone containing feather-like chatoyant silver fibers that shimmer like angel wings.
"
serendibite,,,6.75,
